model,vrm,make
Octavia S TDi,GF16 HJE,Vauxhall
Astra,DL15 XXT,Vauxhall
TRANSIT,CP17 YXJ,FORD
Corsa,MM70 JBV,Vauxhall
Octavia Estate,GD66 OMC,Skoda
"Trafic LL29 Sport Energy
DCI",YE66 UJC,Renault
Vivaro Combi,NK17 DMZ,Vauxhall
IONiQ PREMIUM HEV S-A,WF71 EXU,Hyundai
Corolla,SC21 WHH,Toyota
Astra Tech Line CDTi S/S,FP15 RDY,Vauxhall
Insignia,FJ17 XKX,Vauxhall
"Astra Tech Line CDTI
S/S",FN65 OYW,Vauxhall
E350E SE Premium Auto,T10 TTX,Mercedes
"Ceed 2 Nav CRDI ISG
MHEV",YC71EBJ,Kia
,EGZ 5639,Volkswagen
5 Excite,YC72 UZR,MG
Tourneo Courier,DP69 ELW,Ford
Caddy,VN71 YHD,Volkswagon
Vito 116 Bluetec Tourer,SD15 VPC,Mercedes-
Pro,,Benz
Zafira Exclusiv,SB14 BTE,Vauxhall
Evito Tourer Pro,DC21ACS,Mercedes-
,,Benz
Astra Tech Line CDTi S/S,FN65 OYA,Vauxhall
Superb,T44 GGT,Skoda
Superb,GL17 HRE,Skoda
Zafira Exclusiv,YR62 HME,Vauxhall
Boxer,DK69 CXZ,Peugeot
Toledo,NK63 FDJ,Seat
"Insignia Exclusiv 160
CDTI",NX09 XDS,Vauxhall
508 GT line Blue HDI,YG67 ZZD,Peugeot
S/S,,
Corolla,SN19 BLG,Toyota
Octavia SE TDI,GC21ORX,Skoda
"Astra Tech Line CDTI
S/S",FN65 OXZ,Vauxhall
Tourneo Courier,FG69 EOD,Ford
Octavia,BV20 PEO,Skoda
Jogger Essential,FM23 DWP,Dacia
,SB18 PXW,Nissan Leaf
X83,YP18WXO,Vauxhall
,,Vivaro
"Tucson SE Connect T-
GDI HEV A",H22 LAH,Hyundai
Corola Hybred,MF71 VDT,Toyota
Electric Estate Excite,SK22 VFW,MG5
Octavia 1.0 TSi SE,GK23 PZX,Skoda
Superb S TD,JM11KAS,Skoda
Insignia,NV68KMU,Vauxhall
"Kona SE Connect T-GDI
MHEV",L7 GWR,Hyundai
Octavia,HN67 MXJ,Skoda
Boxer,SF66GDY,Peugeot
Euro,Y10 TTX,Mercedes Benz
,VE21 AZX,"Vauxhall
Insignia"
X83,LM65 EKX,Vauxhall
Leaf N-Connect,SL22 YJA,Nissan
Vivaro Combi CDTi S/S,SK66 TNX,Vauxhall
Superb,BD67 CCV,Skoda
Caddy Maxi Life,T999 GPH,Volkswagen
Euro,SA22 GZU,Vauxhall
Caddy Maxi Life,YY69XRO,Volkswagon
Vivaro 1.6TDI BI Turbo,DF17 YAX,Vauxhall
Zafira Exclusiv,SJ65 UVN,Vauxhall
Focus Zetec TDCi,JC06 EMS,Ford
Octavia,GJ20VZA,Skoda
,MW18 PKX,"Citreon
Spacetourer"
Corolla ICON HEV CVT,GY22 CZV,Toyota
Vito 113 CDI Traveliner,PE14 HRA,Mercedes Benz
B200 Sport Executive D,BG55TAX,Mercedes Benz
Auto,,
Vivaro,GY71 LWG,Vauxhall
Octavia,MD17 WGO,Skoda
Ateca,SM12 CAB,Seat
Caddy Maxi Life,AK69 XEO,Volkswagen
Jogger Essential TCE,YH72 ZKJ,Dacia
Vivaro,YY71 JWC,Vauxhall
Vito Tourer,E9 LPH,Mercedes Benz
Combo Life Energy s/s,FE20 YVR,Vauxhall
,SL71 JYF,"MG MG 5
Excite EV"
Transit,YT18 XBX,Ford
5 Excite,YC72UTY,MG
HS Exclusive S-A,SO71 CZA,MG
"T Porter T30 SW 140TDI
LW",YD14 ZKR,Volkswagen
Vito 116CDI Tourer,SN23THF,Mercedes-
Select Auto,,Benz
Ioniq SE,EN67 JPF,Hyundai
Ioniq SE,EN67 KOJ,Hyundai
Mokka X Active CDTI S/S,DY18 WOB,Vauxhall
Vivaro,YS68 LJL,Vauxhall
Octavia SE,SD21NCA,Skoda
Vivaro,LK16 MXO,Vauxhall
Caddy Max C20 Life TDI,GK67 NYY,Volkswagen
E6 Traffic,YF66 CTE,Renault
E220 CDI Elegance Auto,AC52 CAR,Mercedes
Vivaro,DS68 TLU,Vauxhall
Octavia Hatchback,NV19 FJE,Skoda
Mondeo,SD19 UBP,Ford
Octavia SE,SB70 KFJ,Skoda
Master,YX55 FKY,Renault
Zafira,DU67 YLA,Vauxhall
5 Excite,SK22 VFY,MG
Vivaro,DL14 CYO,Vauxhall
,SK22 VGE,MG MG 5
,,Excite EV
Tourneo Custom,BT20VYP,Ford
Tourneo Cust 300 SET,YE65 XTY,Ford
TDCI,,
Vito,SF66 ENL,Peugeot
Tipo Lounge,SL70 WXV,Fiat
Superb SE TSI S-A,GF18 WAA,Skoda
Master LM35 DC1 100,YX55 FKT,Renault
LW B,,
Ducato 35 Multijet,SG62 URV,Fiat
7,SF11 AWP,Peugeot
,SK22 VFV,"MG MG 5
Excite EV"
,SJ65 AUU,Peugeot
,,Partner
Octavia,GM17 ZBT,Skoda
Mondeo,JC07 BAT,Ford
Vivaro,LR18 KSF,Vauxhall
Boxer Minibus,HX18 AUV,Peugeot
Master SL28,YJ66 KKS,Renault
Superb S TDI S-A,T555 GPH,Skoda
Electric Estate Excite,SK22 VGC,MG5
MG5 Excite,SK22 VFX,MG
Tourneo,YM66 XAC,Ford
199LXY1AL0D,WP63 SZX,Fiat
Evito Tourer Pro,MJ22 GOA,"Mercedes-
Benz"
NX,SK21 KFJ,Skoda
308 SW,OE19 YOK,Peugeot
Partner Tepee S HDI,NG65 DYC,Peugeot
508 Active HDI,MA12 LVV,Peugeot
Duster Essential TCE 4X2,SG70 XYL,Dacia
Vivaro E,SO23 OCE,Vauxhall
Euro 6,KY21 ULB,Seat
Electric Estate Excite,SL71 XFP,MG5
Horizon,SF14 AUP,Peugeot
Freedom RS,SF66 OUM,Ford
Boxer 333 L1H1 HDI,SE13 WGO,Peugeot
Premier S,SF64 EXT,Peugeot
Tourneo Custom,RO18 ERJ,Ford
Pro Cab,SF19 KZA,Ford
Horizon RS Blue HDI S/S,SF67 AZA,Peugeot
CFAC,YT71 ZJN,Ford
Tourneo Custom 320 TI,SA71XHT,Ford
EBLUE,,
Euro Taxi,SF16 EZW,Peugeot
Horizon S AC,SD63 FEX,Peugeot
,,Horizon
"Tourneo Custom 310 T-
NIUM TDCi",LM51 CAB,Ford
NV200,SH63 AVK,Nissan
Partner,SF11 KHM,Peugeot
Trafic,SC66 MWA,Renault
Vivario,JP55 JGP,Vauxhall
VX8,DV16 RCO,Vauxhall
Alllied Pro-Cab,SF18 PXT,Ford
Premier,SF14 BHY,Peugeot
7TP,SF64 HFA,Peugeot
Caddy Maxi,YY18 ZHK,Volkswagen
Allied Procab,SF68KTE,Ford
Vivaro Combi CDTI S/S,LK16 MGJ,Vauxhall
Tourneo Connect,SF17 BTE,Ford
,SF20 AWG,Ford Pro Cab
Maxi Cab,AC52 CAB,Ford
Benz,SF68 LGK,Mercedes
Vivaro Combi CDTi S/S,DU19 KKB,Vauxhall
Transporter,GK16 XVP,Volkswagen
G9,SF66 FXC,Peugeot
Vivaro,MK16 KLJ,Vauxhall
Premier,SD63 DMY,Peugeot
Premier RX 1.6,SF68 DYG,Peugeot
7TP,SF64 HEU,Peugeot
HRE,AC53 CAB,LEVC
Tourneo Custom,SF18 AVE,Ford
Trafic,PO19 XWX,Renault
Procab,SF20 AFK,Ford
Trafic,SN15 YRD,Renault
Maxi Cab,YN69 AYA,Ford
Maxi Cab,YJ69 BBO,Ford
Caddy Maxi C20 Life TDI,NK18CBO,Volkswagen
Tourneo,SF65 NZE,Ford
Scudo Combi 120 SWB,SF60 CBU,Fiat
Partner,SF65 GNJ,Peugeot
TW200,SF61 CTE,Fiat
Freedom,SF67 HPV,Ford
Benz,RC51 TAX,Mercedes
,SF67 DNN,Peugeot
Tourneo Cust 300,YJ65 XYU,Ford
Tourneo Connect,SF65 NVO,Ford
Trafic Business Energy,YH 21 CZX,Renault
Horizon RS Blue,SF68 DDJ,Peugeot
"Caddy maxi C20 LIFE
TDI S-A",SJ19 RHN,Volkswagon
Partner Tepee,K20 CDW,Peugeot
"Custom 310 T-NIUM
TDCi",YT18 GFY,Ford Tourneo
Torneo Cust 300,YJ65 XXW,Ford
Vivaro LZ Diesel,LO16 HKH,Vauxhall
,SF12 GJY,Peugeot
,,Premier S 7
Tourneo,SF64 SXW,Ford
Horizon S AC,SF13 FUT,Peugeot
Maxi Cab,YJ69 BBN,Ford
Vito 114 Bluetec Tourer,SN19 KYK,Mercedes
,SF18 BWV,Ford Tourneo
Vivaro,DY64 AZG,Vauxhall
Transit,AC57 AXE,Ford
Traffic,PN68 NVZ,Renault
Vito,KR22 BGX,Mercedes
Tourneo Custom,SF18 AVG,Ford
Premier,SF13 FZB,Peugeot
Vivaro,LO16 HPE,Vauxhall
Tourneo,BN67 YHM,Ford
Vivaro,DS12 SX0,Vauxhall
Caddy Maxi,GN67DJJ,Volkswagen
Horizon,SF12 ONB,Peugeot
TX Vista,AC51 CAB,LEVC
Euro,SF70 EKB,Ford
Transit,MK17 VYD,Ford
Euro Taxi LX,SF64 FXG,Peugeot
Vivaro,MP10 ZZZ,Vauxhall
Partner Tepee S HDI 92,SF11 ONK,Peugeot
Euro,AD68 DFA,Volkswagen
Tourneo Custom 320 TI,MX71 XHV,Ford
TX Vista Comfort Plus,SH73 TPF,LEVC
Allied,T17 ALL,Ford
Trafic,HV67 BZE,Renault
Doblo Dynamic M-Jet,LJ13 ARU,Fiat
Expert,SF15 GFJ,Peugeot
Trafic,GR19 GWR,Renault
Freedom,SF17 BNO,Ford
Ford Tourneo,SF66 DRX,Ford
Horizon S,SF14 BUJ,Peugeot
Tourneo Connect GRD,WD67 NOU,Ford
Zetec TDCI,,
Premier,SD63 FTN,Peugeot
,FJ68 TWG,Mercedes-
,,Benz
Premier RS Blue HDI S/S,SD17 OUF,Peugeot
Trafic,SK62 UPV,Renault
Tourneo,MF68 UYR,Ford
Vivaro,LM68 LXF,Vauxhall
,Ford Pro Cab,7
